,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
65,Burnley,Portsmouth,0.3333333333333333,0.16666666666666666,H,0.0,0.3333333333333333,A,D Webb,0.5517241379310345,0.17857142857142855,0.3333333333333333,0.2,0.611111111111111,0.0,0.25,0.13333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.0
66,Cardiff,Leeds,0.0,0.3333333333333333,A,0.0,0.3333333333333333,A,J Smith,0.034482758620689655,0.5357142857142857,0.16666666666666666,0.7000000000000001,0.33333333333333337,0.5555555555555555,0.0,0.26666666666666666,0.3333333333333333,0.2857142857142857,1.0,0.0
67,Coventry,Swansea,0.16666666666666666,0.3333333333333333,A,0.3333333333333333,0.6666666666666666,A,J Linington,0.6206896551724138,0.39285714285714285,0.5833333333333333,0.4,0.4444444444444444,0.05555555555555558,0.375,0.2,0.3333333333333333,0.42857142857142855,0.0,0.0
68,Luton,Sheffield Weds,0.3333333333333333,0.16666666666666666,H,0.0,0.0,D,G Ward,0.4482758620689655,0.42857142857142855,0.25,0.6000000000000001,0.2777777777777778,0.5555555555555555,0.5,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.0,0.5
69,Sheffield United,Derby,0.16666666666666666,0.0,H,0.0,0.0,D,A Madley,0.5517241379310345,0.10714285714285714,0.41666666666666663,0.0,0.38888888888888884,0.5,0.6875,0.13333333333333333,0.5,0.2857142857142857,0.0,0.0
70,West Brom,Plymouth,0.16666666666666666,0.0,H,0.0,0.0,D,A Kitchen,0.5172413793103448,0.6071428571428571,0.3333333333333333,0.4,0.2777777777777778,0.2777777777777778,0.3125,0.13333333333333333,0.5,0.2857142857142857,0.0,0.0
71,Preston,Blackburn,0.0,0.0,D,0.0,0.0,D,M Donohue,0.17241379310344826,0.21428571428571427,0.41666666666666663,0.30000000000000004,0.33333333333333337,0.6666666666666666,0.25,0.26666666666666666,0.6666666666666666,0.5714285714285714,1.0,0.5
72,Plymouth,Luton,0.5,0.16666666666666666,H,0.3333333333333333,0.0,H,J Busby,0.5862068965517241,0.5714285714285714,0.5,0.2,0.0,0.5,0.1875,1.0,0.16666666666666666,0.5714285714285714,0.0,0.0
73,Blackburn,QPR,0.3333333333333333,0.0,H,0.0,0.0,D,C Pawson,0.5862068965517241,0.21428571428571427,1.0,0.1,0.6666666666666666,0.38888888888888884,0.5,0.13333333333333333,0.5,0.2857142857142857,0.0,0.5
74,Derby,Norwich,0.3333333333333333,0.5,A,0.0,0.3333333333333333,A,O Langford,0.48275862068965514,0.3571428571428571,0.41666666666666663,0.5,0.5,0.16666666666666663,0.5625,0.3333333333333333,0.5,0.2857142857142857,0.0,0.0
75,Sheffield Weds,West Brom,0.5,0.3333333333333333,H,0.6666666666666666,0.0,H,B Toner,0.3448275862068966,0.42857142857142855,0.41666666666666663,0.30000000000000004,0.38888888888888884,0.5555555555555555,0.3125,0.26666666666666666,0.8333333333333333,0.42857142857142855,0.0,0.0
76,Hull,Cardiff,0.6666666666666666,0.16666666666666666,H,0.6666666666666666,0.3333333333333333,H,L Doughty,0.5517241379310345,0.5714285714285714,0.75,0.5,0.2777777777777778,0.4444444444444444,0.4375,0.3333333333333333,0.5,0.5714285714285714,0.0,0.0
77,Leeds,Coventry,0.5,0.0,H,0.3333333333333333,0.0,H,G Ward,0.3793103448275862,0.25,0.6666666666666666,0.2,0.6666666666666666,0.611111111111111,0.4375,0.2,0.16666666666666666,0.14285714285714285,0.0,0.0
78,Middlesbrough,Stoke,0.3333333333333333,0.0,H,0.3333333333333333,0.0,H,S Martin,0.8275862068965517,0.25,0.75,0.1,0.33333333333333337,0.7222222222222222,0.4375,0.13333333333333333,0.6666666666666666,1.0,0.0,0.0
79,Millwall,Preston,0.5,0.16666666666666666,H,0.6666666666666666,0.0,H,D Bond,0.4137931034482758,0.39285714285714285,0.5,0.4,0.6666666666666666,0.33333333333333337,0.1875,0.5333333333333333,0.3333333333333333,0.2857142857142857,1.0,0.0
80,Oxford,Burnley,0.0,0.0,D,0.0,0.0,D,J Linington,0.034482758620689655,0.5,0.08333333333333333,0.1,0.2222222222222222,0.5,0.125,0.4,0.16666666666666666,0.2857142857142857,0.0,0.0
