HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Bristol City,Coventry,1,1,D,1,0,H,A Kitchen,12,8,7,1,8,16,8,2,2,4,0,0
Hull,Millwall,0,0,D,0,0,D,D Webb,14,13,4,5,11,15,5,7,2,2,0,0
QPR,Plymouth,1,1,D,1,1,D,G Ward,30,6,10,1,10,14,11,1,2,3,0,2
Blackburn,Oxford,2,1,H,1,1,D,L Smith,18,13,4,3,14,8,7,5,2,1,0,0
Middlesbrough,Portsmouth,2,2,D,1,2,A,M Donohue,29,7,7,3,10,15,15,2,0,5,0,0
Norwich,Sheffield United,1,1,D,1,1,D,J Smith,7,12,5,4,14,7,1,5,5,2,0,0
Preston,Luton,1,0,H,1,0,H,D Whitestone,6,17,2,4,16,10,2,13,6,1,0,0
Stoke,West Brom,1,2,A,1,2,A,J Bell,7,8,2,5,12,11,2,5,2,3,0,0
Sunderland,Burnley,1,0,H,1,0,H,S Martin,14,4,3,1,13,19,3,1,2,3,1,0
Watford,Derby,2,1,H,1,1,D,G Eltringham,12,8,3,3,10,11,4,2,2,3,0,0
Swansea,Cardiff,1,1,D,1,0,H,O Langford,9,7,4,3,14,14,2,5,2,2,0,0
Luton,QPR,1,2,A,1,0,H,R Madley,11,11,5,4,13,10,4,5,3,2,0,0
Burnley,Blackburn,1,1,D,1,1,D,T Harrington,15,10,3,3,15,19,9,0,4,5,0,1
Cardiff,Middlesbrough,0,2,A,0,0,D,D Webb,12,10,3,5,13,10,4,6,2,1,0,0
Coventry,Norwich,0,1,A,0,0,D,A Davies,14,9,5,1,11,10,6,3,4,3,0,0
Derby,Bristol City,3,0,H,1,0,H,T Nield,19,13,7,5,15,11,6,9,1,0,0,0
Leeds,Hull,2,0,H,0,0,D,G Ward,16,9,5,2,12,15,8,7,2,1,0,0
Millwall,Sheffield Weds,3,0,H,0,0,D,L Doughty,18,4,4,1,16,13,6,6,2,1,0,0
Oxford,Preston,3,1,H,1,1,D,K Stroud,10,10,5,4,8,21,2,5,2,2,0,1
Plymouth,Stoke,0,1,A,0,0,D,O Langford,15,15,7,7,14,17,10,4,1,3,0,0
Portsmouth,Sunderland,1,3,A,0,1,A,S Allison,6,11,2,4,14,14,5,5,3,1,0,0
West Brom,Swansea,1,0,H,1,0,H,A Backhouse,18,6,5,2,8,11,6,7,4,1,0,0
Sheffield United,Watford,1,0,H,1,0,H,A Kitchen,18,7,7,1,15,12,8,5,5,3,0,0
Hull,Sheffield United,0,2,A,0,1,A,P Bankes,10,9,2,4,6,10,16,3,1,4,0,0
Leeds,Burnley,0,1,A,0,1,A,J Bell,17,7,4,3,8,13,9,3,3,4,0,1
Millwall,Luton,0,1,A,0,1,A,J Smith,11,10,3,6,8,20,6,4,2,3,0,0
Oxford,Stoke,1,0,H,0,0,D,D Whitestone,14,9,8,1,5,6,4,6,0,1,0,0
Blackburn,Bristol City,3,0,H,1,0,H,S Martin,9,8,3,2,13,15,6,6,0,4,0,0
Derby,Cardiff,1,0,H,1,0,H,M Donohue,12,9,3,3,12,10,7,6,2,3,0,0
Middlesbrough,Preston,1,1,D,1,1,D,T Nield,16,6,6,2,6,21,9,2,0,5,0,0
Plymouth,Sunderland,3,2,H,0,1,A,J Brooks,13,17,6,7,14,12,3,5,4,4,0,0
Sheffield Weds,QPR,1,1,D,0,0,D,O Langford,13,13,2,4,6,7,11,4,0,3,0,0
Swansea,Norwich,1,0,H,1,0,H,J Busby,9,13,4,3,14,14,4,5,2,3,0,0
Watford,Coventry,1,1,D,0,1,A,R Madley,18,17,6,5,9,10,6,10,2,2,0,0
Portsmouth,West Brom,0,3,A,0,1,A,L Doughty,14,19,0,7,18,6,10,4,5,2,0,0
Stoke,Hull,1,3,A,1,0,H,B Toner,14,13,2,3,12,10,2,5,3,2,0,0
Norwich,Watford,4,1,H,2,1,H,A Backhouse,19,11,8,3,6,8,3,5,2,1,0,0
QPR,Millwall,1,1,D,1,1,D,J Busby,7,16,2,5,9,12,5,10,2,1,0,0
Sunderland,Middlesbrough,1,0,H,1,0,H,S Hooper,9,11,2,1,8,15,3,5,3,2,0,0
Bristol City,Oxford,2,1,H,0,1,A,W Finnie,19,7,6,2,16,14,5,1,1,4,0,0
Burnley,Portsmouth,2,1,H,0,1,A,D Webb,18,5,4,2,15,4,4,2,2,2,0,0
Cardiff,Leeds,0,2,A,0,1,A,J Smith,3,15,2,7,10,14,0,4,2,2,1,0
Coventry,Swansea,1,2,A,1,2,A,J Linington,20,11,7,4,12,5,6,3,2,3,0,0
Luton,Sheffield Weds,2,1,H,0,0,D,G Ward,15,12,3,6,9,14,8,5,1,1,0,1
Sheffield United,Derby,1,0,H,0,0,D,A Madley,18,3,5,0,11,13,11,2,3,2,0,0
West Brom,Plymouth,1,0,H,0,0,D,A Kitchen,17,17,4,4,9,9,5,2,3,2,0,0
Preston,Blackburn,0,0,D,0,0,D,M Donohue,7,6,5,3,10,16,4,4,4,4,1,1
Plymouth,Luton,3,1,H,1,0,H,J Busby,19,16,6,2,4,13,3,15,1,4,0,0
Blackburn,QPR,2,0,H,0,0,D,C Pawson,19,6,12,1,16,11,8,2,3,2,0,1
Derby,Norwich,2,3,A,0,1,A,O Langford,16,10,5,5,13,7,9,5,3,2,0,0
Sheffield Weds,West Brom,3,2,H,2,0,H,B Toner,12,12,5,3,11,14,5,4,5,3,0,0
Hull,Cardiff,4,1,H,2,1,H,L Doughty,18,16,9,5,9,12,7,5,3,4,0,0
Leeds,Coventry,3,0,H,1,0,H,G Ward,13,7,8,2,16,15,7,3,1,1,0,0
Middlesbrough,Stoke,2,0,H,1,0,H,S Martin,26,7,9,1,10,17,7,2,4,7,0,0
Millwall,Preston,3,1,H,2,0,H,D Bond,14,11,6,4,16,10,3,8,2,2,1,0
Oxford,Burnley,0,0,D,0,0,D,J Linington,3,14,1,1,8,13,2,6,1,2,0,0
Portsmouth,Sheffield United,0,0,D,0,0,D,M Donohue,9,12,2,4,12,19,15,9,2,2,0,0
Watford,Sunderland,2,1,H,1,0,H,A Davies,13,17,5,5,11,11,4,6,2,1,0,0
Swansea,Bristol City,1,1,D,1,0,H,A Kitchen,7,15,2,6,10,15,3,8,1,3,0,0
Burnley,Plymouth,1,0,H,1,0,H,R Madley,11,7,3,0,14,8,7,1,1,0,0,0
Cardiff,Millwall,1,0,H,1,0,H,G Ward,10,11,5,5,14,12,5,6,1,3,0,0
Coventry,Blackburn,3,0,H,1,0,H,J Busby,18,10,8,3,12,12,5,1,1,3,0,0
Luton,Oxford,2,2,D,2,1,H,J Bell,12,19,4,8,13,12,5,6,3,3,1,0
Norwich,Leeds,1,1,D,1,0,H,S Martin,7,14,1,3,12,18,9,6,2,4,0,0
QPR,Hull,1,3,A,1,2,A,T Kirk,21,15,7,6,12,11,5,6,1,3,0,0
Sunderland,Derby,2,0,H,1,0,H,D Whitestone,9,13,3,5,7,19,1,8,2,2,0,0
West Brom,Middlesbrough,0,1,A,0,0,D,D Webb,11,15,1,4,7,6,5,4,2,1,0,0
